t,y
31176000.0,-1.074
31212000.0,-1.524
31248000.0,-1.244
31284000.0,-3.224
31320000.0,1.487
31356000.0,-0.265
31392000.0,0.508
31428000.0,0.65
31464000.0,1.986
31500000.0,4.414
